Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
Product Class Recommendation,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
* Can adjust only value column *,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
DC Code,DC Name,Article Number,Article Name,Article Vendor Name,Selling Unit,Item Flag,SCGH Item Status,SCGH DC Item Flag,DC Stock,Show & Stock (By Branch),Product Class (Previous Version),Product Class (QTY),Product Class (Value),Product Class (Recommendation) *
8910,DC Korat 01,1081644,CT0065#BL(HM)ที่ใส่กระดาษทิชชู่ ดำ,,EA,Standard,Ready,,DC FLOW THROUGH,N,A,C,C,B
8910,DC Korat 01,1081301,K-45764X-0 ตู้เฟอร์นิเจอร์900MM ALEUTIAN,,SET,Standard,Ready,,,N,C,A,A,B
8910,DC Korat 01,1081133,F40017-CHADYชุดฝักบัวสายอ่อน รุ่นเรนคลิก,,SET,Standard,Ready,,DC STOCK,N,B,B,A,A
8910,DC Korat 01,1081134,ราวปรับระดับทรงโค้ง F40014-CHADY,,SET,Standard,Ready,,DC FLOW THROUGH,N,A,C,C,A
8910,DC Korat 01,1081496,HAP004A วาล์วเปิดปิดน้ำ,,EA,Standard,Ready,,DC STOCK,N,A,C,B,B
8910,DC Korat 01,1081120,K-45764X-E63ตู้เฟอร์นิเจอรFOREFORNวอลนัท,,SET,Standard,Ready,,,N,C,A,A,A
8910,DC Korat 01,1081139,A-6044-HSชุดฝักบัวสายอ่อน 5 ระบบ MILANO,,SET,Standard,Ready,,DC STOCK,N,B,B,B,C
8910,DC Korat 01,1081766,C13441 สุขภัณฑ์สองชิ้น 4.5L.BEN,,SET,Standard,Ready,,DC FLOW THROUGH,N,C,C,C,B
8910,DC Korat 01,1081576,CT2148A#BL ก๊อกผสมยืนอาบแบบก้านโยก,,SET,Standard,Ready,,DC STOCK,N,C,C,C,B
8910,DC Korat 01,1081677,26263IK0 สายฉีดชำระ BLISTER PAC ดำ,,SET,Standard,Ready,,DC STOCK,N,B,C,C,B
8910,DC Korat 01,1081634,CW923U สุขภัณฑ์ชิ้นเดียว 4.8L,,SET,Standard,Ready,,DC FLOW THROUGH,N,C,C,B,B
8910,DC Korat 01,1081024,SC6657 สุขภัณฑ์สองชิ้น 4.5ลิตร FORALL ขา,,SET,Standard,Ready,,DC FLOW THROUGH,N,C,C,C,A
8910,DC Korat 01,1081606,ก๊อกเดี่ยวอ่างล้างหน้า WS-1901M สแตนเลส,,SET,Standard,Ready,,DC FLOW THROUGH,N,A,C,C,B
